id;ci;nombre;telefono;direccion;email
1;lest whopping yarmulke;psst premise;vainly;napkin toward apud;ejemplo
2;boo besides;pretend;aboard;after often pause;ejemplos
3;viciously boo;how pacemaker athletic;busy;blowgun;ejemploss
4;before;slip;scrabble faithfully;clinking;ejemplosss
5;tray;certification strange courteous;masterpiece untried;splendid forenenst conceal;ejemplossss
6;versus even spring;minus border offensively;suddenly worth but;meh tinderbox minus;ejemplosssss
7;so pfft gadzooks;about;seemingly um winding;bah against;ejemplossssss
8;brr;onto uh-huh till;dishearten woot;hence;ejemplosssssss
9;part spear misspend;and;oddly;ouch excitedly;ejemplossssssss
10;yearningly aggressive phooey;soybean till beside;as annual;minister huzzah;ejemplosssssssss
